,date,money,clear_money
1938,2025-12-09 00:00:00,23311.699999999968,14723.218750000844
1939,2025-12-09 04:00:00,23472.699999999968,14884.218750000844
1940,2025-12-09 08:00:00,24009.899999999965,15421.418750000841
1941,2025-12-09 12:00:00,23763.099999999962,15174.618750000838
1942,2025-12-09 16:00:00,23848.999999999956,15260.518750000832
1943,2025-12-09 20:00:00,23740.999999999956,15152.518750000832
1944,2025-12-10 00:00:00,26075.999999999956,17487.518750000832
1945,2025-12-10 04:00:00,27160.999999999956,18572.518750000832
1946,2025-12-10 08:00:00,26037.499999999956,17449.018750000832
1947,2025-12-10 12:00:00,25765.099999999962,17176.61875000084
1948,2025-12-10 16:00:00,26143.79999999996,17555.318750000835
1949,2025-12-10 20:00:00,25484.599999999962,16896.11875000084
1950,2025-12-11 00:00:00,25420.899999999965,16832.41875000084
1951,2025-12-11 04:00:00,26312.899999999965,17724.41875000084
1952,2025-12-11 08:00:00,25376.599999999962,16788.11875000084
1953,2025-12-11 12:00:00,23232.199999999968,14643.718750000844
1954,2025-12-11 16:00:00,23630.499999999956,15042.018750000832
1955,2025-12-11 20:00:00,23594.399999999965,15005.918750000841
1956,2025-12-12 00:00:00,23229.199999999968,14640.718750000844
1957,2025-12-12 04:00:00,24192.599999999962,15604.118750000838
1958,2025-12-12 08:00:00,25876.599999999962,17288.11875000084
1959,2025-12-12 12:00:00,25633.399999999965,17044.91875000084
1960,2025-12-12 16:00:00,25788.599999999962,17200.11875000084
1961,2025-12-12 20:00:00,25780.599999999962,17192.11875000084
1962,2025-12-13 00:00:00,23294.099999999962,14705.618750000838
1963,2025-12-13 04:00:00,23546.399999999965,14957.918750000841
1964,2025-12-13 08:00:00,23628.699999999968,15040.218750000844
1965,2025-12-13 12:00:00,23703.099999999962,15114.618750000838
1966,2025-12-13 16:00:00,23685.199999999968,15096.718750000844
1967,2025-12-13 20:00:00,23697.499999999956,15109.018750000832
1968,2025-12-14 00:00:00,23454.499999999956,14866.018750000832
1969,2025-12-14 04:00:00,23549.999999999956,14961.518750000832
1970,2025-12-14 08:00:00,23590.399999999965,15001.918750000841
1971,2025-12-14 12:00:00,23621.399999999965,15032.918750000841
1972,2025-12-14 16:00:00,23604.199999999968,15015.718750000844
1973,2025-12-14 20:00:00,22707.29999999996,14118.818750000835
1974,2025-12-15 00:00:00,22384.29999999996,13795.818750000835
1975,2025-12-15 04:00:00,21997.79999999996,13409.318750000835
1976,2025-12-15 08:00:00,21517.899999999965,12929.418750000841
1977,2025-12-15 12:00:00,22638.999999999956,14050.518750000832
1978,2025-12-15 16:00:00,23102.099999999962,14513.618750000838
1979,2025-12-15 20:00:00,23005.099999999962,14416.618750000838
1980,2025-12-16 00:00:00,20395.699999999968,11763.720450000852
1981,2025-12-16 04:00:00,20395.699999999968,11720.668350000851
1982,2025-12-16 08:00:00,20109.99999999997,11434.968350000854
1983,2025-12-16 12:00:00,20662.199999999968,11987.168350000851
1984,2025-12-16 16:00:00,20535.099999999962,11860.068350000845
1985,2025-12-16 20:00:00,19283.29999999996,10608.268350000842
1986,2025-12-17 00:00:00,18563.599999999962,9888.568350000845
1987,2025-12-17 04:00:00,18961.199999999968,10286.168350000851
1988,2025-12-17 08:00:00,18673.599999999962,9998.568350000845
1989,2025-12-17 12:00:00,19321.79999999996,10646.768350000842
1990,2025-12-17 16:00:00,19489.49999999997,10814.468350000854
1991,2025-12-17 20:00:00,19560.599999999962,10885.568350000845
1992,2025-12-18 00:00:00,19308.49999999997,10633.468350000854
1993,2025-12-18 04:00:00,20517.199999999968,11842.168350000851
1994,2025-12-18 08:00:00,20298.29999999996,11623.268350000842
1995,2025-12-18 12:00:00,19924.79999999996,11249.768350000842
1996,2025-12-18 16:00:00,19712.399999999965,11037.368350000848
1997,2025-12-18 20:00:00,19231.79999999996,10556.768350000842
1998,2025-12-19 00:00:00,18019.099999999962,9344.068350000845
1999,2025-12-19 04:00:00,22052.899999999965,13377.868350000848
2000,2025-12-19 08:00:00,21030.199999999968,12355.168350000851
2001,2025-12-19 12:00:00,19636.79999999996,10961.768350000842
2002,2025-12-19 16:00:00,18590.199999999968,9915.168350000851
2003,2025-12-19 20:00:00,18329.99999999997,9654.968350000854
2004,2025-12-20 00:00:00,18574.29999999996,9899.268350000842
2005,2025-12-20 04:00:00,18687.099999999962,10012.068350000845
2006,2025-12-20 08:00:00,18399.899999999965,9724.868350000848
2007,2025-12-20 12:00:00,18334.599999999962,9615.485700000849
2008,2025-12-20 16:00:00,18334.599999999962,9615.485700000849
2009,2025-12-20 20:00:00,18334.599999999962,9615.485700000849
2010,2025-12-21 00:00:00,18334.599999999962,9571.418400000854
2011,2025-12-21 04:00:00,18272.899999999965,9509.718400000856
2012,2025-12-21 08:00:00,18148.399999999965,9385.218400000856
2013,2025-12-21 12:00:00,18425.99999999997,9618.79680000087
2014,2025-12-21 16:00:00,18425.99999999997,9618.79680000087
2015,2025-12-21 20:00:00,18425.99999999997,9574.511500000881
